MarketSymbol,Amount,Price,StopPrice,IsBuy,IsMargin,OrderId,ClientOrderId,ShouldRoundAmount,OrderType,IsPostOnly
BTC-EUR,0.0000827507268410092080043785,20140.81,0,True,False,,,True,Limit,,70
BTC-EUR,0.0000828391563461503732815224,20119.31,0,True,False,,,True,Limit,,71
ALGO-EUR,5,0.3345,0,True,False,,,True,Limit,,332
ALGO-EUR,5,0.3335,0,True,False,,,True,Limit,,333
ALGO-EUR,5,0.3325,0,True,False,,,True,Limit,,334
ALGO-EUR,5,0.3315,0,True,False,,,True,Limit,,335
ALGO-EUR,5,0.3305,0,True,False,,,True,Limit,,336
ALGO-EUR,5,0.3295,0,True,False,,,True,Limit,,337
ALGO-EUR,5,0.3284,0,True,False,,,True,Limit,,338
ALGO-EUR,5,0.3274,0,True,False,,,True,Limit,,339
ALGO-EUR,5,0.3264,0,True,False,,,True,Limit,,340
ALGO-EUR,5,0.3254,0,True,False,,,True,Limit,,341
ALGO-EUR,5,0.3244,0,True,False,,,True,Limit,,342
ALGO-EUR,5,0.3234,0,True,False,,,True,Limit,,343
ALGO-EUR,5,0.3224,0,True,False,,,True,Limit,,344
ALGO-EUR,5,0.3213,0,True,False,,,True,Limit,,345
ALGO-EUR,5,0.3203,0,True,False,,,True,Limit,,346
ALGO-EUR,5,0.3193,0,True,False,,,True,Limit,,347
ALGO-EUR,5,0.3183,0,True,False,,,True,Limit,,348
ALGO-EUR,5,0.3173,0,True,False,,,True,Limit,,349
ALGO-EUR,5,0.3163,0,True,False,,,True,Limit,,350
ALGO-EUR,5,0.3153,0,True,False,,,True,Limit,,351
ALGO-EUR,5,0.3142,0,True,False,,,True,Limit,,352
ALGO-EUR,5,0.3132,0,True,False,,,True,Limit,,353
ALGO-EUR,5,0.3122,0,True,False,,,True,Limit,,354
ALGO-EUR,5,0.3112,0,True,False,,,True,Limit,,355
ALGO-EUR,5,0.3102,0,True,False,,,True,Limit,,356
ALGO-EUR,5,0.3092,0,True,False,,,True,Limit,,357
ALGO-EUR,5,0.3082,0,True,False,,,True,Limit,,358
ALGO-EUR,5,0.3072,0,True,False,,,True,Limit,,359
ALGO-EUR,5,0.3061,0,True,False,,,True,Limit,,360
ALGO-EUR,5,0.3051,0,True,False,,,True,Limit,,361
ALGO-EUR,5,0.3041,0,True,False,,,True,Limit,,362
ALGO-EUR,5,0.3031,0,True,False,,,True,Limit,,363
ALGO-EUR,5,0.3021,0,True,False,,,True,Limit,,364
